,Pos
0,0.3947392
1,0.8126984
2,1.2538775
3,1.6718367
4,2.0781858
5,2.4845352
6,2.8792744
7,3.2740135
8,3.6919727
9,4.086712
10,4.481451
11,4.87619
12,5.2825394
13,5.6888885
14,6.083628
15,6.4783673
16,6.8847165
17,7.2910657
18,7.685805
19,8.080544
20,8.486894
21,8.893243
22,9.287982
23,9.682721
24,10.07746
25,10.483809
26,10.890159
27,11.284898
28,11.679637
29,12.074376
30,12.480725
31,12.887074
32,13.281814
33,13.688163
34,14.082902
35,14.489251
36,14.88399
37,15.278729
38,15.67347
39,16.079819
40,16.486168
41,16.880907
42,17.275646
43,17.670385
44,18.076735
45,18.483084
46,18.877823
47,19.272562
48,19.690521
49,20.08526
50,20.48
51,20.874739
52,21.281088
53,21.687437
54,22.082176
55,22.476915
56,22.883265
57,23.289614
58,23.684353
59,24.079092
60,24.485441
61,24.89179
62,25.28653
63,25.681269
64,26.087618
65,26.493967
66,26.888706
67,27.283445
68,27.689795
69,28.072926
70,28.467665
71,28.874014
72,29.280363
73,29.675102
74,30.081451
75,30.4878
76,30.89415
77,31.288889
78,31.695238
79,32.089977
80,32.484715
81,32.891064
82,33.285805
83,33.680542
84,34.08689
85,34.481632
86,34.87637
87,35.27111
88,35.67746
89,36.08381
90,36.47855
91,36.8849
92,37.302856
93,37.709206
94,38.103947
95,38.487076
96,38.893425
97,39.288162
98,39.682903
99,40.07764
100,40.47238
101,40.89034
102,41.296688
103,41.69143
104,42.09778
105,42.492516
106,42.887257
107,43.281994
108,43.699955
109,44.106304
110,44.512653
111,44.895782
112,45.30213
113,45.68526
114,46.079998
115,46.486347
116,46.892696
117,47.299046
118,47.693787
119,48.088524
120,48.494873
121,48.901222
122,49.295963
123,49.6907
124,50.09705
125,50.5034
126,50.89814
127,51.292877
128,51.699226
129,52.082355
130,52.477097
131,52.871838
132,53.289795
133,53.684536
134,54.090885
135,54.497234
136,54.89197
137,55.286713
138,55.69306
139,56.0878
140,56.49415
141,56.900497
142,57.306847
143,57.713196
144,58.119545
145,58.514286
146,58.909023
147,59.303764
148,59.6985
149,60.10485
150,60.5112
151,60.90594
152,61.31229
153,61.707027
154,62.113377
155,62.496506
156,62.902855
157,63.297596
158,63.692333
159,64.09869
160,64.505035
161,64.89977
162,65.29451
163,65.70086
164,66.10721
165,66.501945
166,66.89669
167,67.29143
168,67.686165
169,68.0809
170,68.47565
171,68.870384
172,69.27673
173,69.68308
174,70.07782
175,70.48417
176,70.89052
177,71.28526
178,71.68
179,72.08635
180,72.4927
181,72.887436
182,73.28217
183,73.68852
184,74.09487
185,74.48962
186,74.88435
187,75.27909
188,75.68544
189,76.08018
190,76.47492
191,76.88127
192,77.28762
193,77.69397
194,78.08871
195,78.483444
196,78.88979
197,79.29614
198,79.70249
199,80.10884
200,80.50358
201,80.89832
202,81.29306
203,81.69941
204,82.10576
205,82.500496
206,82.89523
207,83.30158
208,83.70793
209,84.11428
210,84.49741
211,84.89215
212,85.28689
213,85.68163
214,86.07637
215,86.48272
216,86.88907
217,87.29542
218,87.690155
219,88.0849
220,88.49125
221,88.88599
222,89.28072
223,89.67546
224,90.08181
225,90.48816
226,90.882904
227,91.27764
228,91.6956
229,92.113556
230,92.5083
231,92.891426
232,93.297775
233,93.69251
234,94.08726
235,94.481995
236,94.88834
237,95.28308
238,95.68943
239,96.08417
240,96.47891
241,96.87365
242,97.26839
243,97.68635
244,98.0927
245,98.49905
246,98.89378
247,99.28852
248,99.69487
249,100.10122
250,100.51918
251,100.92553
252,101.33188
253,101.726616
254,102.12136
255,102.5161
256,102.910835
257,103.30558
258,103.72353
259,104.11828
260,104.513016
261,104.90775
262,105.30249
263,105.697235
264,106.09197
265,106.48671
266,106.89306
267,107.29941
268,107.70576
269,108.100494
270,108.49524
271,108.88998
272,109.296326
273,109.69106
274,110.109024
275,110.51537
276,110.92172
277,111.31646
278,111.7112
279,112.09433
280,112.477455
281,112.8722
282,113.26694
283,113.67329
284,114.079636
285,114.4976
286,114.892334
287,115.28707
288,115.68181
289,116.09977
290,116.49451
291,116.88925
292,117.28399
293,117.67873
294,118.07346
295,118.46821
296,118.88617
297,119.28091
298,119.675644
299,120.08199
300,120.48834
301,120.88308
302,121.277824
303,121.67256
304,122.07891
305,122.48526
306,122.88
307,123.274734
308,123.692696
309,124.08743
310,124.48218
311,124.876915
312,125.294876
313,125.68961
314,126.08435
315,126.47909
316,126.87383
317,127.26857
318,127.67492
319,128.08127
320,128.47601
321,128.88235
322,129.2771
323,129.68344
324,130.07819
325,130.48453
326,130.89088
327,131.28561
328,131.69197
329,132.09831
330,132.48145
331,132.8878
332,133.29414
333,133.68889
334,134.09523
335,134.48997
336,134.88472
337,135.27945
338,135.6742
339,136.06894
340,136.4869
341,136.88164
342,137.27637
343,137.68272
344,138.08907
345,138.48381
346,138.87854
347,139.27328
348,139.66803
349,140.07437
350,140.48073
351,140.88707
352,141.28181
353,141.68816
354,142.09451
355,142.48924
356,142.8956
357,143.29034
358,143.68507
359,144.07982
360,144.49777
361,144.89252
362,145.28725
363,145.68199
364,146.08835
365,146.49469
366,146.90105
367,147.30739
368,147.70213
369,148.09686
370,148.50322
371,148.89795
372,149.3043
373,149.69905
374,150.09378
375,150.48853
376,150.88326
377,151.28961
378,151.68436
379,152.0907
380,152.48544
381,152.88017
382,153.28653
383,153.68127
384,154.08762
385,154.48236
386,154.87709
387,155.28345
388,155.68979
389,156.10776
390,156.50249
391,156.88562
392,157.29198
393,157.6867
394,158.08145
395,158.47618
396,158.88254
397,159.28888
398,159.68362
399,160.07837
400,160.48471
401,160.89107
402,161.2858
403,161.68054
404,162.0985
405,162.49324
406,162.88799
407,163.28271
408,163.70068
409,164.09541
410,164.49016
411,164.88489
412,165.27963
413,165.68599
414,166.09233
415,166.51028
416,166.91664
417,167.31139
418,167.71773
419,168.11247
420,168.5072
421,168.90195
422,169.29669
423,169.69142
424,170.09778
425,170.50412
426,170.92209
427,171.31682
428,171.71156
429,172.10631
430,172.50104
431,172.89578
432,173.31374
433,173.7201
434,174.12643
435,174.52118
436,174.91591
437,175.31065
438,175.7054
439,176.10013
440,176.49487
441,176.88962
442,177.28435
443,177.6907
444,178.09705
445,178.49179
446,178.89813
447,179.29288
448,179.69922
449,180.09396
450,180.48871
451,180.88344
452,181.2898
453,181.68452
454,182.07927
455,182.48563
456,182.90358
457,183.29832
458,183.68144
459,184.0878
460,184.48253
461,184.88889
462,185.28363
463,185.68997
464,186.08472
465,186.47945
466,186.87419
467,187.26894
468,187.67528
469,188.08163
470,188.47636
471,188.87111
472,189.26585
473,189.6722
474,190.07855
475,190.47328
476,190.87964
477,191.28598
478,191.69234
479,192.09868
480,192.50504
481,192.89977
482,193.29451
483,193.68925
484,194.0956
485,194.50195
486,194.88507
487,195.27982
488,195.69777
489,196.11574
490,196.51047
491,196.88199
492,197.27673
493,197.67146
494,198.07782
495,198.48416
496,198.89052
497,199.29686
498,199.70322
499,200.09796
500,200.5043
501,200.89905
502,201.29378
503,201.68852
504,202.08327
505,202.478
506,202.87274
507,203.2907
508,203.70866
509,204.115
510,204.50975
511,204.89288
512,205.29922
513,205.69397
514,206.10031
515,206.49506
516,206.9014
517,207.29614
518,207.70248
519,208.09723
520,208.49197
521,208.8867
522,209.28145
523,209.6762
524,210.09415
525,210.48889
526,210.88362
527,211.27837
528,211.68471
529,212.09106
530,212.4974
531,212.88054
532,213.27528
533,213.68163
534,214.0996
535,214.49432
536,214.90068
537,215.29541
538,215.70177
539,216.0965
540,216.50285
541,216.8976
542,217.29233
543,217.68707
544,218.09341
545,218.49977
546,218.90611
547,219.28925
548,219.68399
549,220.07872
550,220.48508
551,220.89142
552,221.28616
553,221.68091
554,222.07564
555,222.4936
556,222.91156
557,223.34113
558,223.7707
559,224.2235
560,224.60661
561,225.00136
562,225.38449
563,225.77922
564,226.16235
565,226.54549
566,226.95183
567,227.3698
568,227.77614
569,228.2057
570,228.6469
571,229.06485
572,229.4828
573,229.9472
574,230.4
