,Pos
0,0.3599093
1,0.7662585
2,1.2074376
3,1.6602267
4,2.113016
5,2.565805
6,3.018594
7,3.4829931
8,3.9357822
9,4.3885713
10,4.8413606
11,5.2941494
12,5.7469387
13,6.199728
14,6.664127
15,7.116916
16,7.569705
17,8.022494
18,8.486894
19,8.939682
20,9.392471
21,9.845261
22,10.29805
23,10.750839
24,11.203628
25,11.656417
26,12.109206
27,12.573606
28,13.026394
29,13.479183
30,13.9319725
31,14.396372
32,14.849161
33,15.3019495
34,15.754739
35,16.207527
36,16.660316
37,17.113106
38,17.565895
39,18.018684
40,18.471474
41,18.924263
42,19.388662
43,19.841452
44,20.294239
45,20.758638
46,21.211428
47,21.664217
48,22.117006
49,22.569796
50,23.022585
51,23.475374
52,23.928164
53,24.380953
54,24.83374
55,25.28653
56,25.750929
57,26.203718
58,26.656507
59,27.109297
60,27.573696
61,28.026485
62,28.479275
63,28.932062
64,29.384851
65,29.83764
66,30.29043
67,30.75483
68,31.207619
69,31.660408
70,32.113197
71,32.577595
72,33.030384
73,33.483173
74,33.935963
75,34.388752
76,34.84154
77,35.29433
78,35.74712
79,36.19991
80,36.664307
81,37.117096
82,37.569885
83,38.022675
84,38.475464
85,38.928253
86,39.381042
87,39.83383
88,40.28662
89,40.75102
90,41.203808
91,41.656597
92,42.121
93,42.573788
94,43.026577
95,43.479362
96,43.93215
97,44.38494
98,44.83773
99,45.29052
100,45.74331
101,46.1961
102,46.6605
103,47.11329
104,47.566074
105,48.018864
106,48.483265
107,48.936054
108,49.388844
109,49.841633
110,50.294422
111,50.74721
112,51.2
113,51.6644
114,52.117188
115,52.569977
116,53.034374
117,53.487164
118,53.939953
119,54.392742
120,54.84553
121,55.29832
122,55.75111
123,56.2039
124,56.65669
125,57.109478
126,57.573875
127,58.026665
128,58.479454
129,58.932243
130,59.385033
131,59.849434
132,60.30222
133,60.75501
134,61.207798
135,61.660587
136,62.113377
137,62.566166
138,63.030567
139,63.483356
140,63.936146
141,64.38893
142,64.84172
143,65.29451
144,65.7473
145,66.2117
