,Pos
0,0.4527891
1,0.9636281
2,1.474467
3,1.9853061
4,2.4845352
5,2.9837642
6,3.4946032
7,4.005442
8,4.504671
9,5.01551
10,5.526349
11,6.037188
12,6.548027
13,7.047256
14,7.558095
15,8.068934
16,8.579773
17,9.079002
18,9.589841
19,10.10068
20,10.599909
21,11.110748
22,11.621587
23,12.120816
24,12.631655
25,13.142494
26,13.653333
27,14.152562
28,14.663401
29,15.17424
30,15.685079
31,16.184309
32,16.695147
33,17.205986
34,17.716825
35,18.216055
36,18.726892
37,19.237732
38,19.736961
39,20.2478
40,20.758638
41,21.257868
42,21.768707
43,22.279547
44,22.790384
45,23.289614
46,23.800453
47,24.311293
48,24.81052
49,25.32136
50,25.8322
51,26.343039
52,26.842268
53,27.353106
54,27.863945
55,28.374784
56,28.874014
57,29.384851
58,29.89569
59,30.39492
60,30.90576
61,31.416597
62,31.927437
63,32.426666
64,32.937504
65,33.448345
66,33.959183
67,34.458412
68,34.96925
69,35.48009
70,35.97932
71,36.490158
72,37.000996
73,37.511837
74,38.011066
75,38.521904
76,39.03274
77,39.53197
78,40.042812
79,40.55365
80,41.064487
81,41.563717
82,42.07456
83,42.585396
84,43.096233
85,43.595463
86,44.106304
87,44.61714
88,45.11637
89,45.62721
90,46.13805
91,46.648888
92,47.148117
93,47.658955
94,48.169796
95,48.680634
96,49.179863
97,49.6907
98,50.20154
99,50.70077
100,51.21161
101,51.722446
102,52.221676
103,52.732517
104,53.243355
105,53.742584
106,54.25342
107,54.764263
108,55.2751
109,55.78594
110,56.285168
111,56.79601
112,57.306847
113,57.806076
114,58.316914
115,58.827755
116,59.338593
117,59.837822
118,60.34866
119,60.8595
120,61.37034
121,61.869568
122,62.380405
123,62.891247
124,63.402084
125,63.901314
126,64.412155
127,64.911385
128,65.43383
129,65.93306
130,66.4439
131,66.954735
132,67.453964
133,67.964806
134,68.464035
135,68.97488
136,69.48571
137,69.98494
138,70.49578
139,71.00662
140,71.517456
141,72.016685
142,72.52753
143,73.03837
144,73.5492
145,74.06004
146,74.570885
147,75.070114
148,75.58095
149,76.08018
150,76.59102
151,77.09025
152,77.60109
153,78.11192
154,78.622765
155,79.121994
156,79.632835
157,80.14367
158,80.65451
159,81.16535
160,81.676186
161,82.175415
162,82.68626
163,83.185486
164,83.69633
165,84.19556
166,84.70639
167,85.21723
168,85.72807
169,86.2273
170,86.73814
171,87.24898
172,87.75982
173,88.25905
174,88.76988
175,89.28072
176,89.77995
177,90.290794
178,90.80163
179,91.31247
180,91.82331
181,92.32254
182,92.833374
183,93.344215
184,93.843445
185,94.35429
186,94.86512
187,95.36435
188,95.87519
189,96.38603
190,96.896866
191,97.40771
192,97.91855
193,98.42938
194,98.92861
195,99.42784
196,99.93868
197,100.43791
198,100.94875
199,101.45959
200,101.95882
201,102.46966
202,102.9805
203,103.49133
204,104.002174
205,104.513016
206,105.02385
207,105.53469
208,106.04553
209,106.54476
210,107.04399
211,107.554825
212,108.06567
213,108.564896
214,109.064125
215,109.57497
216,110.0858
217,110.59664
218,111.10748
219,111.61832
220,112.12916
221,112.64
222,113.15083
223,113.65006
224,114.160904
225,114.66013
226,115.15936
227,115.670204
228,116.18104
229,116.68027
230,117.19111
231,117.70195
232,118.20118
233,118.71201
234,119.222855
235,119.7453
236,120.25614
237,120.75537
238,121.26621
239,121.76544
240,122.276276
241,122.775505
242,123.28635
243,123.79719
244,124.30802
245,124.80725
246,125.30648
247,125.81732
248,126.32816
249,126.839
250,127.34984
251,127.86068
252,128.37152
253,128.87074
254,129.38159
255,129.89243
256,130.40326
257,130.91411
258,131.41333
259,131.91257
260,132.4234
261,132.92262
262,133.43347
263,133.9443
264,134.45514
265,134.96599
266,135.46521
267,135.97606
268,136.4869
269,136.99773
270,137.50858
271,138.01941
272,138.53024
273,139.02948
274,139.54031
275,140.05115
276,140.55038
277,141.0496
278,141.56046
279,142.07129
280,142.57053
281,143.08136
282,143.5922
283,144.10304
284,144.61388
285,145.1131
286,145.62395
287,146.13478
288,146.64561
289,147.15646
290,147.65569
291,148.16653
292,148.66576
293,149.17659
294,149.68744
295,150.18666
296,150.69751
297,151.20834
298,151.71918
299,152.21841
300,152.72925
301,153.24008
302,153.73932
303,154.25015
304,154.74939
305,155.26022
306,155.77106
307,156.2819
308,156.79274
309,157.29198
310,157.80281
311,158.31364
312,158.81288
313,159.32372
314,159.83455
315,160.3454
316,160.85623
317,161.36707
318,161.8663
319,162.37714
320,162.87637
321,163.3872
322,163.89804
323,164.40889
324,164.91972
325,165.41896
326,165.91818
327,166.42902
328,166.92825
329,167.43909
330,167.94994
331,168.46077
332,168.9716
333,169.47084
334,169.98167
335,170.49251
336,171.00336
337,171.50258
338,172.01343
339,172.52426
340,173.0351
341,173.54594
342,174.04517
343,174.556
344,175.06685
345,175.56607
346,176.07692
347,176.58775
348,177.08698
349,177.59782
350,178.09705
351,178.6079
352,179.11873
353,179.62956
354,180.14041
355,180.65125
356,181.15047
357,181.66132
358,182.16054
359,182.67139
360,183.18222
361,183.68144
362,184.19229
363,184.70312
364,185.21396
365,185.72481
366,186.22403
367,186.73488
368,187.24571
369,187.75655
370,188.2674
371,188.77823
372,189.27745
373,189.7883
374,190.28752
375,190.79837
376,191.3092
377,191.82004
378,192.33089
379,192.84172
380,193.34094
381,193.84018
382,194.35101
383,194.86186
384,195.3727
385,195.88353
386,196.38277
387,196.8936
388,197.40443
389,197.90367
390,198.4145
391,198.92535
392,199.42458
393,199.92381
394,200.43465
395,200.94548
396,201.45633
397,201.96716
398,202.478
399,202.97723
400,203.48807
401,203.9989
402,204.50975
403,205.02058
404,205.51982
405,206.03065
406,206.52988
407,207.04073
408,207.55156
409,208.0624
410,208.56163
411,209.07246
412,209.58331
413,210.09415
414,210.60498
415,211.10422
416,211.60344
417,212.12589
418,212.63673
419,213.14757
420,213.6468
421,214.15764
422,214.66847
423,215.17932
424,215.69016
425,216.18938
426,216.70023
427,217.21106
428,217.69868
429,218.20952
430,218.72035
431,219.2312
432,219.74203
433,220.25287
434,220.76372
435,221.26294
436,221.77379
437,222.27301
438,222.77225
439,223.28308
440,223.79391
441,224.29315
442,224.80399
443,225.31482
444,225.81406
445,226.32489
446,226.83574
447,227.35818
448,227.86902
449,228.36826
450,228.87909
451,229.37831
452,229.87755
453,230.38838
454,230.89923
455,231.41006
456,231.9209
457,232.42014
458,232.93097
459,233.4418
460,233.95265
461,234.45187
462,234.96272
463,235.47356
464,235.97278
465,236.48363
466,236.99446
467,237.4937
468,238.00453
469,238.51537
470,239.0146
471,239.52544
472,240.03627
473,240.5355
474,241.03473
475,241.54558
476,242.05641
477,242.56725
478,243.0781
479,243.58893
480,244.08817
481,244.599
482,245.10983
483,245.62068
484,246.1199
485,246.63074
486,247.12997
487,247.64081
488,248.15166
489,248.66249
490,249.17332
491,249.68417
492,250.195
493,250.70584
494,251.20508
495,251.71591
496,252.22675
497,252.7376
498,253.24843
499,253.75928
500,254.2585
501,254.75772
502,255.26857
503,255.7794
504,256.29025
505,256.78946
506,257.30032
507,257.81116
508,258.322
509,258.82123
510,259.33206
511,259.8313
512,260.34213
513,260.85297
514,261.3638
515,261.87463
516,262.38547
517,262.8847
518,263.39554
519,263.89478
520,264.4056
521,264.91644
522,265.41568
523,265.9265
524,266.43738
525,266.93658
526,267.44742
527,267.95828
528,268.46912
529,268.97995
530,269.49078
531,269.99002
532,270.50085
533,271.0001
534,271.51093
535,272.02176
536,272.521
537,273.03183
538,273.54266
539,274.0535
540,274.56436
541,275.06357
542,275.5744
543,276.08527
544,276.58447
545,277.09534
546,277.60617
547,278.10538
548,278.61624
549,279.12708
550,279.6379
551,280.13715
552,280.63635
553,281.1356
554,281.64642
555,282.1573
556,282.66812
557,283.16733
558,283.6782
559,284.18903
560,284.69986
561,285.2107
562,285.72153
563,286.23236
564,286.74323
565,287.25406
566,287.7533
567,288.26413
568,288.76334
569,289.2742
570,289.78503
571,290.29587
572,290.7951
573,291.30594
574,291.80518
575,292.316
576,292.82684
577,293.33768
578,293.8485
579,294.34775
580,294.85858
581,295.35782
582,295.86865
583,296.3679
584,296.87872
585,297.38956
586,297.9004
587,298.41125
588,298.91046
589,299.4213
590,299.93216
591,300.443
592,300.95383
593,301.46466
594,301.9755
595,302.47473
596,302.98557
597,303.4848
598,303.98404
599,304.48325
600,304.9941
601,305.50494
602,306.01578
603,306.5266
604,307.03745
605,307.53668
606,308.04752
607,308.55835
608,309.0692
609,309.58005
610,310.09088
611,310.59012
612,311.10095
613,311.6002
614,312.11102
615,312.62186
616,313.1211
617,313.63193
618,314.13116
619,314.642
620,315.15283
621,315.66367
622,316.1745
623,316.68533
624,317.1962
625,317.70703
626,318.20624
627,318.7171
628,319.22794
629,319.73877
630,320.238
631,320.74884
632,321.24808
633,321.7589
634,322.26974
635,322.76898
636,323.27982
637,323.77905
638,324.2899
639,324.80072
640,325.31155
641,325.8224
642,326.33322
643,326.83246
644,327.3433
645,327.85416
646,328.35336
647,328.8642
648,329.37506
649,329.8859
650,330.38513
651,330.89597
652,331.4068
653,331.90604
654,332.41687
655,332.9277
656,333.43854
657,333.94937
658,334.4486
659,334.95944
660,335.45868
661,335.9695
662,336.48035
663,336.97958
664,337.49042
665,338.00125
666,338.5005
667,339.01132
668,339.52216
669,340.0214
670,340.53223
671,341.0431
672,341.55392
673,342.05313
674,342.564
675,343.07483
676,343.58566
677,344.0849
678,344.59573
679,345.09497
680,345.6058
681,346.11664
682,346.62747
683,347.1383
684,347.64914
685,348.14838
686,348.67084
687,349.18167
688,349.6809
689,350.19174
690,350.70258
691,351.2134
692,351.71265
693,352.21188
694,352.72272
695,353.23355
696,353.7444
697,354.24362
698,354.75446
699,355.2537
700,355.76453
701,356.27536
702,356.7746
703,357.29706
704,357.8079
705,358.31873
706,358.82956
707,359.3288
708,359.83963
709,360.33887
710,360.83807
711,361.34894
712,361.85977
713,362.359
714,362.86984
715,363.38068
716,363.8915
717,364.40234
718,364.91318
719,365.42404
720,365.92325
721,366.4341
722,366.94495
723,367.45578
724,367.95502
725,368.45422
726,368.96506
727,369.4643
728,369.97513
729,370.47437
730,370.9852
731,371.50766
732,372.0185
733,372.52933
734,373.02856
735,373.5394
736,374.05023
737,374.5611
738,375.0603
739,375.57114
740,376.07037
741,376.5812
742,377.09207
743,377.6029
744,378.1021
745,378.61298
746,379.11218
747,379.62302
748,380.13388
749,380.6447
750,381.15555
751,381.66638
752,382.17722
753,382.68808
754,383.1989
755,383.70975
756,384.22058
757,384.71982
758,385.23065
759,385.7299
760,386.2291
761,386.73996
762,387.2508
763,387.76163
764,388.26086
765,388.7717
766,389.28253
767,389.78177
768,390.2926
769,390.80344
770,391.31427
771,391.8135
772,392.32434
773,392.83517
774,393.34604
775,393.84525
776,394.35608
777,394.86694
778,395.37778
779,395.877
780,396.38785
781,396.89868
782,397.39792
783,397.90875
784,398.4196
785,398.93042
786,399.42966
787,399.9405
788,400.45132
789,400.95056
790,401.4614
791,401.97223
792,402.48306
793,402.9823
794,403.49313
795,404.004
796,404.5032
797,405.01404
798,405.5249
799,406.03574
800,406.54657
801,407.0458
802,407.55664
803,408.06747
804,408.5667
805,409.07755
806,409.58838
807,410.08762
808,410.59845
809,411.10928
810,411.62012
811,412.11935
812,412.6302
813,413.14102
814,413.64026
815,414.1511
816,414.66196
817,415.1728
818,415.672
819,416.18286
820,416.6937
821,417.19293
822,417.70377
823,418.2146
824,418.72543
825,419.23627
826,419.7355
827,420.24634
828,420.75717
829,421.268
830,421.76724
831,422.27808
832,422.78894
833,423.28815
834,423.79898
835,424.30984
836,424.80905
837,425.31992
838,425.83075
839,426.34158
840,426.84082
841,427.35165
842,427.8625
843,428.37332
844,428.87256
845,429.3834
846,429.89423
847,430.40506
848,430.9043
849,431.41513
850,431.92596
851,432.4252
852,432.93604
853,433.4469
854,433.9461
855,434.45694
856,434.9678
857,435.47864
858,435.98947
859,436.4887
860,436.99954
861,437.51038
862,438.0096
863,438.52045
864,439.03128
865,439.5421
866,440.04135
867,440.5522
868,441.05142
869,441.56226
870,442.0731
871,442.58392
872,443.08316
873,443.594
874,444.10486
875,444.6157
876,445.1149
877,445.62576
878,446.1366
879,446.64743
880,447.14667
881,447.6575
882,448.16833
883,448.67917
884,449.1784
885,449.68924
886,450.18848
887,450.6993
888,451.21014
889,451.72098
890,452.23184
891,452.73105
892,453.24188
893,453.75275
894,454.25195
895,454.76282
896,455.27365
897,455.7845
898,456.28372
899,456.79456
900,457.3054
901,457.80463
902,458.31546
903,458.8263
904,459.33713
905,459.83636
906,460.3472
907,460.85803
908,461.35727
909,461.8681
910,462.37894
911,462.8898
912,463.389
913,463.89984
914,464.4107
915,464.92154
916,465.42078
917,465.9316
918,466.44244
919,466.95328
920,467.4525
921,467.96335
922,468.47418
923,468.98502
924,469.48425
925,469.9951
926,470.49432
927,471.00516
928,471.516
929,472.02682
930,472.52606
931,473.0369
932,473.54776
933,474.0586
934,474.5578
935,475.06866
936,475.5795
937,476.09033
938,476.58957
939,477.1004
940,477.59964
941,478.11047
942,478.6213
943,479.13214
944,479.63138
945,480.1422
946,480.65305
947,481.16388
948,481.66312
949,482.17395
950,482.68478
951,483.19565
952,483.69485
953,484.20572
954,484.71655
955,485.2274
956,485.72662
957,486.23746
958,486.7483
959,487.25912
960,487.75836
961,488.2692
962,488.76843
963,489.27927
964,489.7901
965,490.30093
966,490.80017
967,491.311
968,491.82184
969,492.3327
970,492.8319
971,493.34274
972,493.8536
973,494.36444
974,494.86368
975,495.3745
976,495.88535
977,496.38458
978,496.89542
979,497.40625
980,497.9055
981,498.41632
982,498.92715
983,499.438
984,499.93723
985,500.44806
986,500.9589
987,501.46973
988,501.96896
989,502.4798
990,502.99066
991,503.5015
992,504.0007
993,504.51157
994,505.01077
995,505.52164
996,506.03247
997,506.5433
998,507.04254
999,507.55338
1000,508.0642
1001,508.57504
1002,509.07428
1003,509.5851
1004,510.09595
1005,510.60678
1006,511.10602
1007,511.61685
1008,512.1277
1009,512.63855
1010,513.13776
1011,513.6486
1012,514.1478
1013,514.6587
1014,515.1695
1015,515.68036
1016,516.17957
1017,516.6904
1018,517.20123
1019,517.7121
1020,518.2113
1021,518.72217
1022,519.23303
1023,519.74384
1024,520.2431
1025,520.7539
1026,521.2648
1027,521.7756
1028,522.27484
1029,522.78564
1030,523.2965
1031,523.7957
1032,524.3066
1033,524.8174
1034,525.31665
1035,525.82745
1036,526.3383
1037,526.8491
1038,527.3484
1039,527.8592
1040,528.35846
1041,528.86926
1042,529.3801
1043,529.891
1044,530.4018
1045,530.91266
1046,531.41187
1047,531.9227
1048,532.43353
1049,532.9444
1050,533.4436
1051,533.95447
1052,534.4537
1053,534.96454
1054,535.47534
1055,535.9862
1056,536.4854
1057,536.9963
1058,537.5071
1059,538.01794
1060,538.51715
1061,539.028
1062,539.5389
1063,540.0381
1064,540.54895
1065,541.05975
1066,541.5706
1067,542.0814
1068,542.5807
1069,543.0915
1070,543.59076
1071,544.10156
1072,544.6124
1073,545.1232
1074,545.6225
1075,546.1333
1076,546.64417
1077,547.155
1078,547.65424
1079,548.16504
1080,548.6759
1081,549.18677
1082,549.686
1083,550.19684
1084,550.69604
1085,551.2069
1086,551.7177
1087,552.2286
1088,552.7278
1089,553.23865
1090,553.74945
1091,554.2603
1092,554.7595
1093,555.2704
1094,555.7812
1095,556.29205
1096,556.79126
1097,557.3021
